month,date,file_name,subfolder,row_no,issue_type,expected_behavior
2026-02,2026-02-02,クレーム集計260202.xlsx,incoming-a,5,unknown_branch,未知の支店として転記せずログ記録
2026-02,2026-02-05,クレーム集計260205.xlsx,incoming-b,5,non_numeric_count,非数値件数として転記せずログ記録
2026-02,2026-02-05,クレーム集計260205.xlsx,incoming-b,6,blank_count,空欄件数として転記せずログ記録
2026-04,2026-04-02,クレーム集計260402.xlsx,incoming-b,1,duplicate_file,重複日次ファイルとして転記せずログ記録
2026-04,2026-04-02,クレーム集計260402.xlsx,incoming-b,2,duplicate_file,重複日次ファイルとして転記せずログ記録
2026-04,2026-04-30,クレーム集計260430.xlsx,incoming-b,4,unknown_business,未知の業務として転記せずログ記録
2026-02,2026-02-03,クレーム集計260203.xlsx,,,missing_day,転記なし。日付列は空欄のまま
2026-02,,,,,out_of_month_day_column,2026-02 の 29 日列は空欄のまま
2026-02,,,,,out_of_month_day_column,2026-02 の 30 日列は空欄のまま
2026-02,,,,,out_of_month_day_column,2026-02 の 31 日列は空欄のまま
2026-04,2026-04-03,クレーム集計260403.xlsx,,,missing_day,転記なし。日付列は空欄のまま
2026-04,,,,,out_of_month_day_column,2026-04 の 31 日列は空欄のまま
2026-05,2026-05-02,クレーム集計260502.xlsx,,,missing_day,転記なし。日付列は空欄のまま
